gz_id;categoria;label;nombre;nombrehoy;santo;variantes;partido_generico;provincia_generica;region;fuente;id_largo
7000373;Fuerte;Puren;San Carlos de Puren;;;;Laja;Concepcion;CHL;bueno;Puren_Laja_CHL_Fuerte
7000374;Fuerte;San Agustin de Mesamavida;San Agustin de Mesamavida;;;;Laja;Concepcion;CHL;bueno;San Agustin de Mesamavida_Laja_CHL_Fuerte
7000375;Fuerte;San Pedro de Alcantara;San Pedro de Alcantara;;;;Valdivia;Concepcion;CHL;bueno;San Pedro de Alcantara_Valdivia_CHL_Fuerte
7000376;Fuerte;San Sebastian de la Cruz;San Sebastian de la Cruz;;;;Valdivia;Concepcion;CHL;bueno;San Sebastian de la Cruz_Valdivia_CHL_Fuerte
7000377;Fuerte;Concepcion;Pura y Limpia Concepcion de Monfort de Lemus;Fuerte de Niebla;;;Valdivia;Concepcion;CHL;bueno;Concepcion_Valdivia_CHL_Fuerte
7000378;Fuerte;San Luis;San Luis de Alba de Amargos;;;;Valdivia;Concepcion;CHL;bueno;San Luis_Valdivia_CHL_Fuerte
7000379;Fuerte;San Carlos;San Carlos;;;;Valdivia;Concepcion;CHL;goyeneche;San Carlos_Valdivia_CHL_Fuerte
7000381;Pueblo;Niebla;Niebla;;;;Valdivia;Concepcion;CHL;goyeneche;Niebla_Valdivia_CHL_Pueblo
7000382;Pueblo;Rio Bueno;Rio Bueno;;;;Valdivia;Concepcion;CHL;bueno;Rio Bueno_Valdivia_CHL_Pueblo
7000383;Pueblo;Nanihue;Nanihue;;;"Cayumapu; Pelchuquin; Nauihue;Gañihue; Guaneuhue;";Valdivia;Concepcion;CHL;goyeneche;Nanihue_Valdivia_CHL_Pueblo
7000384;Pueblo;Quinchilca;Quinchilca;;;;Valdivia;Concepcion;CHL;goyeneche;Quinchilca_Valdivia_CHL_Pueblo
7000385;Pueblo;Dallipulli;Dallipulli;;;"Daglipulli;";Valdivia;Concepcion;CHL;goyeneche;Dallipulli_Valdivia_CHL_Pueblo
7000386;Pueblo;Cudico;Cudico;;;"Codigo;";Valdivia;Concepcion;CHL;goyeneche;Cudico_Valdivia_CHL_Pueblo
7000387;Pueblo;Arique;Concepcion Arique;;Concepcion;"Rarique;";Valdivia;Concepcion;CHL;bueno;Arique_Valdivia_CHL_Pueblo
7000388;Pueblo;Mariquina;San Jose Mariquina;;San Jose;;Valdivia;Concepcion;CHL;bueno;Mariquina_Valdivia_CHL_Pueblo
7000389;Pueblo;Tolten Bajo;Tolten Bajo;;;"Nagtolten;";Valdivia;Concepcion;CHL;goyeneche;Tolten Bajo_Valdivia_CHL_Pueblo
7000390;Pueblo;Pitubquen;Pitubquen;Pitrufquen;<Null>;Pitrufquen;Valdivia;Concepcion;CHL;goyeneche;Pitubquen_Valdivia_CHL_Pueblo
7000391;Pueblo;Tolten Alto;Tolten Alto;;;"Dogll; Donguil; Doquell";Valdivia;Concepcion;CHL;goyeneche;Tolten Alto_Valdivia_CHL_Pueblo
7000392;Localidad;Cugui;Cugui;;;;Valdivia;Concepcion;CHL;goyeneche;Cugui_Valdivia_CHL_Localidad
7000393;Localidad;Pucullan;Pucullan;;;;Valdivia;Concepcion;CHL;goyeneche;Pucullan_Valdivia_CHL_Localidad
7000394;Localidad;Quintoque;Quintoque;;;;Valdivia;Concepcion;CHL;goyeneche;Quintoque_Valdivia_CHL_Localidad
7000395;Pueblo;Quilacahuin;Quilacahuin;;;;Osorno;Chiloe;CHL;goyeneche;Quilacahuin_Osorno_CHL_Pueblo
7000396;Pueblo;Coyunco;Coyunco;;;;Osorno;Chiloe;CHL;zavala;Coyunco_Osorno_CHL_Pueblo
7000397;Pueblo;San Juan de la Costa;San Juan de la Costa;;;;Osorno;Chiloe;CHL;goyeneche;San Juan de la Costa_Osorno_CHL_Pueblo
7000398;Fuerte;San Pedro;San Pedro;San Pedro de la Paz;;;Arauco;Concepcion;CHL;bueno;San Pedro_Arauco_CHL_Fuerte
7000399;Fuerte;San Juan;San Juan;;;;Arauco;Concepcion;CHL;bueno;San Juan_Arauco_CHL_Fuerte
7000400;Fuerte;Colcura;Colcura;;;;Arauco;Concepcion;CHL;bueno;Colcura_Arauco_CHL_Fuerte
7000401;Fuerte;Arauco;San Ildefonso Arauco;;San Ildefonso;;Arauco;Concepcion;CHL;bueno;Arauco_Arauco_CHL_Fuerte
7000402;Fuerte;Nacimiento;Nacimiento;;;;Arauco;Concepcion;CHL;bueno;Nacimiento_Arauco_CHL_Fuerte
7000403;Fuerte;Maullin;Maullin;;;;Carelmapu;Chiloe;CHL;bueno;Maullin_Carelmapu_CHL_Fuerte
7000405;Poblacion;Calbuco;San Miguel Calbuco;;San Miguel;;Calbuco;Chiloe;CHL;MP-PERU_222;Calbuco_Calbuco_CHL_Poblacion
7000406;Pueblo;Caycaen;Caycaen;Caicaen;;;Calbuco;Chiloe;CHL;MP-PERU_222;Caycaen_Calbuco_CHL_Pueblo
7000407;Pueblo;Men-Men;Men-Men;;;;Calbuco;Chiloe;CHL;MP-PERU_222;Men-Men_Calbuco_CHL_Pueblo
7000408;Pueblo;Huar;Huar;Guar;;;Calbuco;Chiloe;CHL;MP-PERU_222;Huar_Calbuco_CHL_Pueblo
7000409;Pueblo;Polugui;Polugui;Puluqui;;;Calbuco;Chiloe;CHL;MP-PERU_222;Polugui_Calbuco_CHL_Pueblo
7000411;Pueblo;Chope;Chope;;;;Calbuco;Chiloe;CHL;MP-PERU_222;Chope_Calbuco_CHL_Pueblo
7000412;Poblacion;Chacao;San Antonio Chacao;;San Antonio;;Castro;Chiloe;CHL;MP-PERU_222;Chacao_Castro_CHL_Poblacion
7000413;Pueblo;Estero;Estero;;;;Castro;Chiloe;CHL;MP-PERU_222;Estero_Castro_CHL_Pueblo
7000414;Pueblo;Manau;Manau;;;;Castro;Chiloe;CHL;MP-PERU_222;Manau_Castro_CHL_Pueblo
7000415;Pueblo;Linau;Linau;;;;Castro;Chiloe;CHL;MP-PERU_222;Linau_Castro_CHL_Pueblo
7000416;Pueblo;Llisco;Llisco;;;;Castro;Chiloe;CHL;MP-PERU_222;Llisco_Castro_CHL_Pueblo
7000417;Pueblo;Huitu;Huitu;Huite;;"Huito; Huite;";Castro;Chiloe;CHL;MP-PERU_222;Huitu_Castro_CHL_Pueblo
7000418;Pueblo;Caucahue;Caucahue;;;;Castro;Chiloe;CHL;MP-PERU_222;Caucahue_Castro_CHL_Pueblo
7000419;Pueblo;Colu;Colu;;;;Castro;Chiloe;CHL;MP-PERU_222;Colu_Castro_CHL_Pueblo
7000420;Pueblo;Chaurahue;Chaurahue;;;;Castro;Chiloe;CHL;MP-PERU_222;Chaurahue_Castro_CHL_Pueblo
7000421;Pueblo;Pudeto;Pudeto;;;;Castro;Chiloe;CHL;MP-PERU_222;Pudeto_Castro_CHL_Pueblo
7000422;Pueblo;Quetalmahue;Quetalmahue;;;;Castro;Chiloe;CHL;MP-PERU_222;Quetalmahue_Castro_CHL_Pueblo
7000423;Fuerte;Agui;Agui;Ahui;;"Ahui;";Castro;Chiloe;CHL;MP-PERU_222;Agui_Castro_CHL_Fuerte
7000424;Pueblo;Quicavi;Quicavi;Quiqavi;;"Cuicavi;";Chacao;Chiloe;CHL;MP-PERU_222;Quicavi_Chacao_CHL_Pueblo
7000425;Pueblo;Tenaun;Tenaun;;;"Tinaun; Tenaum;";Chacao;Chiloe;CHL;MP-PERU_222;Tenaun_Chacao_CHL_Pueblo
7000426;Pueblo;Calen;Calen;;;;Chacao;Chiloe;CHL;MP-PERU_222;Calen_Chacao_CHL_Pueblo
7000427;Pueblo;Dalcahue;Dalcahue;;;;Chacao;Chiloe;CHL;MP-PERU_222;Dalcahue_Chacao_CHL_Pueblo
7000428;Pueblo;Quetalco;Quetalco;;;;Chacao;Chiloe;CHL;MP-PERU_222;Quetalco_Chacao_CHL_Pueblo
7000429;Pueblo;Tey;Tey;;;"Fe;";Chacao;Chiloe;CHL;MP-PERU_222;Tey_Chacao_CHL_Pueblo
7000430;Pueblo;Yutui;Yutui;;;;Chacao;Chiloe;CHL;MP-PERU_222;Yutui_Chacao_CHL_Pueblo
7000431;Pueblo;Puteumun;Puteumun;Putemun;;;Chacao;Chiloe;CHL;MP-PERU_222;Puteumun_Chacao_CHL_Pueblo
7000432;Pueblo;Llaullau;Llaullau;Llau-Llao;;"Llau Llao;";Chacao;Chiloe;CHL;MP-PERU_222;Llaullau_Chacao_CHL_Pueblo
7000433;Pueblo;Nercon;Nercon;;;;Chacao;Chiloe;CHL;MP-PERU_222;Nercon_Chacao_CHL_Pueblo
7000434;Pueblo;Quiquico;Quiquico;;;;Chacao;Chiloe;CHL;MP-PERU_222;Quiquico_Chacao_CHL_Pueblo
7000435;Pueblo;Curahue;Curahue;;;;Chacao;Chiloe;CHL;MP-PERU_222;Curahue_Chacao_CHL_Pueblo
